institution,number,family,genus,species,cranium.length,rostrum.length,rostrum.width,rostrum.depth,coracoid,sternum.length,keel.length,keel.depth,humerus,ulna,carpometacarpus,femur,tibiotarsus,tarsometatarsus,island,landbird.spp.richness,island.area,elevation,nearest.continent,isolation,ecosystem.richness,raptor.spp,columbid.spp,kingfisher.spp,mammal.predators,location.1,location.2,location.3,collector,age,mass,wing.ch.,tail,subspecies,sex,other
NMNH,491981,Alcedinidae,Halcyon,Halcyon_senegalensis,NA,NA,NA,NA,25.74,19.31,25.27,8.9,36.4,44.57,18.36,21.95,32.46,14.17,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Uganda,West Mengo,Entebbe: Lunyo Forest,NA,NA,NA,NA,NA,NA,female,NA
NMNH,491982,Alcedinidae,Halcyon,Halcyon_senegalensis,NA,NA,NA,NA,23.47,18.53,24.71,8.79,33.89,42.47,17.38,20.2,30.59,12.91,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Uganda,West Mengo,Entebbe: Lunyo Forest,NA,NA,NA,NA,NA,NA,male,NA
NMNH,490184,Alcedinidae,Halcyon,Halcyon_senegalensis,25.63,40.91,14.1,8.38,25.65,21.23,27.76,9.94,35.24,43.87,18.05,21.53,32.4,13.83,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Zimbabwe,Chibuwe,Sabi River,J.R. Shaw,NA,67,NA,NA,NA,female,NA
NMNH,292070,Alcedinidae,Halcyon,Halcyon_smyrnensis,29.26,51.08,15.28,9.6,28.33,23.76,30.71,10.55,39.93,NA,20.66,22.94,36.71,14.85,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,China,Szechuan,Ning Yuen Fu,D.C. Graham,NA,NA,NA,NA,fokiensis,female,NA
NMNH,292069,Alcedinidae,Halcyon,Halcyon_smyrnensis,29.32,55.82,16.79,10.77,NA,24.11,31.34,10.57,NA,53.15,20.93,23.73,38.58,15.23,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,China,Szechuan,Ning Yuen Fu,D.C. Graham,NA,NA,NA,NA,fokiensis,female,NA
NMNH,292071,Alcedinidae,Halcyon,Halcyon_smyrnensis,29.49,51.03,15.98,9.82,28.89,25.24,31.51,10.71,40.96,53.53,21.1,23.81,37.94,14.96,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,China,Szechuan,Ning Yuen Fu,D.C. Graham,NA,NA,NA,NA,fokiensis,male,NA
NMNH,605053,Alcedinidae,Halcyon,Halcyon_smyrnensis,29.51,52.44,15.83,9.86,28.23,24.57,31.18,NA,40.85,52.18,21.72,22.3,NA,14.09,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Israel,Central District,Beit Yanai,S.R. Peterson,NA,NA,122,NA,NA,male,NA
NMNH,290455,Alcedinidae,Halcyon,Halcyon_smyrnensis,28.93,55.85,16.96,11,27.66,22.84,28.49,10.1,39.63,52.22,20.75,22.93,36.79,15.7,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Luzon,Tayabas,F. Rivera,NA,NA,NA,NA,gularis,female,NA
NMNH,613069,Alcedinidae,Halcyon,Halcyon_smyrnensis,29.4,56.87,16.98,10.96,28.5,24.36,31.25,10.71,41.17,53.26,21.25,24.32,39.33,15.67,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Luzon: Cagayan,"Barrio Via; Sitio Hot Springs, baggao","R.W. Dickerman, C.A. Ross",NA,104,NA,NA,gularis,female,NA
NMNH,613071,Alcedinidae,Halcyon,Halcyon_smyrnensis,29.14,54.81,16.68,11.2,28.4,23.91,31.76,10.65,41.13,53.25,21.07,24.34,38.49,15.39,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Luzon: Cagayan,"Barrio Santa Margarita, Baggao",R.W. Dickerman,NA,NA,NA,NA,gularis,female,NA
